GB 18030 码位	UCS 码位	字符	注释
0xF281	U+9A3A	騺
0xF282	U+9A3B	騻
0xF283	U+9A3C	騼
0xF284	U+9A3D	騽
0xF285	U+9A3E	騾
0xF286	U+9A3F	騿
0xF287	U+9A40	驀
0xF288	U+9A41	驁
0xF289	U+9A42	驂
0xF28A	U+9A43	驃
0xF28B	U+9A44	驄
0xF28C	U+9A45	驅
0xF28D	U+9A46	驆
0xF28E	U+9A47	驇
0xF28F	U+9A48	驈
0xF290	U+9A49	驉
0xF291	U+9A4A	驊
0xF292	U+9A4B	驋
0xF293	U+9A4C	驌
0xF294	U+9A4D	驍
0xF295	U+9A4E	驎
0xF296	U+9A4F	驏
0xF297	U+9A50	驐
0xF298	U+9A51	驑
0xF299	U+9A52	驒
0xF29A	U+9A53	驓
0xF29B	U+9A54	驔
0xF29C	U+9A55	驕
0xF29D	U+9A56	驖
0xF29E	U+9A57	驗
0xF29F	U+9A58	驘
0xF2A0	U+9A59	驙
0xF340	U+9A5A	驚
0xF341	U+9A5B	驛
0xF342	U+9A5C	驜
0xF343	U+9A5D	驝
0xF344	U+9A5E	驞
0xF345	U+9A5F	驟
0xF346	U+9A60	驠
0xF347	U+9A61	驡
0xF348	U+9A62	驢
0xF349	U+9A63	驣
0xF34A	U+9A64	驤
0xF34B	U+9A65	驥
0xF34C	U+9A66	驦
0xF34D	U+9A67	驧
0xF34E	U+9A68	驨
0xF34F	U+9A69	驩
0xF350	U+9A6A	驪
0xF351	U+9A6B	驫
0xF37A	U+9AD7	髗
0xF386	U+9AE5	髥
0xF389	U+9AE9	髩
0xF38E	U+9AF1	髱
0xF391	U+9AF4	髴
0xF393	U+9AF6	髶
0xF396	U+9AFA	髺
0xF397	U+9AFC	髼
0xF399	U+9AFE	髾
0xF39B	U+9B00	鬀
0xF39D	U+9B02	鬂
0xF39E	U+9B04	鬄
0xF39F	U+9B05	鬅
0xF440	U+9B07	鬇
0xF441	U+9B09	鬉
0xF442	U+9B0A	鬊
0xF443	U+9B0B	鬋
0xF444	U+9B0C	鬌
0xF446	U+9B0E	鬎
0xF447	U+9B10	鬐
0xF448	U+9B11	鬑
0xF449	U+9B12	鬒
0xF44A	U+9B14	鬔
0xF44B	U+9B15	鬕
0xF44C	U+9B16	鬖
0xF44D	U+9B17	鬗
0xF44E	U+9B18	鬘
0xF44F	U+9B19	鬙
0xF450	U+9B1A	鬚
0xF451	U+9B1B	鬛
0xF452	U+9B1C	鬜
0xF453	U+9B1D	鬝
0xF454	U+9B1E	鬞
0xF455	U+9B20	鬠
0xF456	U+9B21	鬡
0xF457	U+9B22	鬢
0xF458	U+9B24	鬤
0xF462	U+9B2E	鬮
0xF463	U+9B30	鬰
0xF464	U+9B31	鬱
0xF465	U+9B33	鬳
0xF46B	U+9B39	鬹
0xF47C	U+9B58	魘
0xF47D	U+9B59	魙
