兼容字	SVS 表示	兼容字对应码点	SVS 码点
龎	龎︀	U+FAD9	U+9F8E U+FE00
丽	丽︀	U+2F800	U+4E3D U+FE00
丸	丸︀	U+2F801	U+4E38 U+FE00
乁	乁︀	U+2F802	U+4E41 U+FE00
𠄢	𠄢︀	U+2F803	U+20122 U+FE00
你	你︀	U+2F804	U+4F60 U+FE00
侮	侮︁	U+2F805	U+4FAE U+FE01
侻	侻︀	U+2F806	U+4FBB U+FE00
倂	倂︀	U+2F807	U+5002 U+FE00
偺	偺︀	U+2F808	U+507A U+FE00
備	備︀	U+2F809	U+5099 U+FE00
僧	僧︁	U+2F80A	U+50E7 U+FE01
像	像︀	U+2F80B	U+50CF U+FE00
㒞	㒞︀	U+2F80C	U+349E U+FE00
𠘺	𠘺︀	U+2F80D	U+2063A U+FE00
免	免︁	U+2F80E	U+514D U+FE01
兔	兔︀	U+2F80F	U+5154 U+FE00
兤	兤︀	U+2F810	U+5164 U+FE00
具	具︀	U+2F811	U+5177 U+FE00
𠔜	𠔜︀	U+2F812	U+2051C U+FE00
㒹	㒹︀	U+2F813	U+34B9 U+FE00
內	內︀	U+2F814	U+5167 U+FE00
再	再︀	U+2F815	U+518D U+FE00
𠕋	𠕋︀	U+2F816	U+2054B U+FE00
冗	冗︀	U+2F817	U+5197 U+FE00
冤	冤︀	U+2F818	U+51A4 U+FE00
仌	仌︀	U+2F819	U+4ECC U+FE00
冬	冬︀	U+2F81A	U+51AC U+FE00
况	况︁	U+2F81B	U+51B5 U+FE01
𩇟	𩇟︀	U+2F81C	U+291DF U+FE00
凵	凵︀	U+2F81D	U+51F5 U+FE00
刃	刃︀	U+2F81E	U+5203 U+FE00
㓟	㓟︀	U+2F81F	U+34DF U+FE00
刻	刻︀	U+2F820	U+523B U+FE00
剆	剆︀	U+2F821	U+5246 U+FE00
割	割︀	U+2F822	U+5272 U+FE00
剷	剷︀	U+2F823	U+5277 U+FE00
㔕	㔕︀	U+2F824	U+3515 U+FE00
勇	勇︁	U+2F825	U+52C7 U+FE01
勉	勉︁	U+2F826	U+52C9 U+FE01
勤	勤︁	U+2F827	U+52E4 U+FE01
勺	勺︁	U+2F828	U+52FA U+FE01
包	包︀	U+2F829	U+5305 U+FE00
匆	匆︀	U+2F82A	U+5306 U+FE00
北	北︁	U+2F82B	U+5317 U+FE01
卉	卉︀	U+2F82C	U+5349 U+FE00
卑	卑︁	U+2F82D	U+5351 U+FE01
博	博︀	U+2F82E	U+535A U+FE00
即	即︀	U+2F82F	U+5373 U+FE00
卽	卽︀	U+2F830	U+537D U+FE00
卿	卿︀	U+2F831	U+537F U+FE00
卿	卿︁	U+2F832	U+537F U+FE01
卿	卿︂	U+2F833	U+537F U+FE02
𠨬	𠨬︀	U+2F834	U+20A2C U+FE00
灰	灰︀	U+2F835	U+7070 U+FE00
及	及︀	U+2F836	U+53CA U+FE00
叟	叟︀	U+2F837	U+53DF U+FE00
𠭣	𠭣︀	U+2F838	U+20B63 U+FE00
叫	叫︀	U+2F839	U+53EB U+FE00
叱	叱︀	U+2F83A	U+53F1 U+FE00
吆	吆︀	U+2F83B	U+5406 U+FE00
咞	咞︀	U+2F83C	U+549E U+FE00
吸	吸︀	U+2F83D	U+5438 U+FE00
呈	呈︀	U+2F83E	U+5448 U+FE00
周	周︀	U+2F83F	U+5468 U+FE00
咢	咢︀	U+2F840	U+54A2 U+FE00
哶	哶︀	U+2F841	U+54F6 U+FE00
唐	唐︀	U+2F842	U+5510 U+FE00
啓	啓︀	U+2F843	U+5553 U+FE00
啣	啣︀	U+2F844	U+5563 U+FE00
善	善︀	U+2F845	U+5584 U+FE00
善	善︁	U+2F846	U+5584 U+FE01
喙	喙︁	U+2F847	U+5599 U+FE01
喫	喫︀	U+2F848	U+55AB U+FE00
喳	喳︀	U+2F849	U+55B3 U+FE00
嗂	嗂︀	U+2F84A	U+55C2 U+FE00
圖	圖︀	U+2F84B	U+5716 U+FE00
嘆	嘆︁	U+2F84C	U+5606 U+FE01
圗	圗︀	U+2F84D	U+5717 U+FE00
噑	噑︀	U+2F84E	U+5651 U+FE00
噴	噴︀	U+2F84F	U+5674 U+FE00
切	切︁	U+2F850	U+5207 U+FE01
壮	壮︀	U+2F851	U+58EE U+FE00
城	城︀	U+2F852	U+57CE U+FE00
埴	埴︀	U+2F853	U+57F4 U+FE00
堍	堍︀	U+2F854	U+580D U+FE00
型	型︀	U+2F855	U+578B U+FE00
